code	description
01	Animaux vivants
02	Viandes
3,0 	Poissons
04	Produits laitiers
07	Légumes
08	Fruits
1001	Froment et méteil
1005	Maïs autre que de semence
1006	Riz 
1101	Farine de froment
1107	Malt
1209	Graines
1302 	Sucs et extraits végétaux
1507-1515	Huiles végétales
1517	Margarine
16	Préparations viandes et poissons
17019110-9910	Sucre cristallisé
1704	Sucreries sans cacao
190110	Préparations pour l'alimentation des enfants
1902	Pâtes alimentaires
190531,0 	Biscuits
20	Préparations légumes et fruits
21	Préparations alimentaires diverses
2203	Bières
2204	Vins
2205	Vermouths
2207-08	Liqueurs et autres boissons spiritueuses
2401	Tabac
240220	Cigarettes
2501	Sel
252310	Ciments non pulverisés dits clinkers
252329	Ciment portland
2710113-14-1911	Essence d'avion et Kérozène
27101111-15	Essence autres
27101921-23-31-39	Gas oil et fuel oil
27101912-14	Pétrole
2710119-1910-19-26	Huiles  et graisses
271091-99-1941-42	Déchets d'huile
2711-2715	Asphaltes, bitumes
28	Produits chimiques inorganiques
29	Produits chimiques organiques
30	Produits pharmaceutiques
31	Engrais
32	Matières colorantes
33	Produits de parfumerie
3401-05	Savons et produits d'entretien
3605	Allumettes
37	Produits photographiques et cinématographiques
380810	Insecticides
380840	Désinfectants
39	Matières plastiques
4011-12	Pneumatiques
4013	Chambres à air
42	Ouvrages en cuir
44	Bois et ouvrages en bois
48	Papiers, cartons et ouvrages en carton
49	Articles de librairie
5206-12	Tissus de coton
5407- 08	Tissus synthétiques et artificiels continus
5512-16	Tissus de fibres textiles synthétiques discontinus
5607	Ficelles et cordes
5903	Tissus imprégnés d'autres matières plastiques
61	Vêtements et accesoires du vêt., en bonneterie
62	Vêtements et acc. du vêt. autres qu'en bonneterie
6308-10	Friperie
64	Chaussures
68	Ouvrages en pierres, plâtre et ciment
69	Produits céramiques
701090	Bouteilles
72	Fonte, fer et acier
73	Ouvrages en fonte, fer et acier
76	Ouvrages en aluminium
8201-07	Ouvrages divers
82013010	Houes
8212	Rasoirs et leurs lames
83	Autres ouvrages en métaux communs
8301	Serrures, verrous et cadenas
84	Engins mécaniques et pièces de rechange
8501	Machines génératrices
8504	Transformateurs électriques
8506-07	Piles et accumulateurs électriques
8525-29	Appareils de radio
8701	Tracteurs
8702-03	Voitures automobiles
8704	Camions
8708	Pièces de rechange pour véhicules
8711-14	Vélos, motos et leurs pièces
90	Appareils d'optique, photo et cinéma
92	Instruments de musique d'enregistrement
9401-04	Mobilier et articles de literie
95	Jouets et articles de sport
9603	Balais et brosses
9608	Stylos et crayons à bille
9610	Ardoises et tableaux pour l'écriture