Annee,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Moyenne Annuelle
1992,0.1,-0.2,0.6,1.3,2.8,1.4,0.6,2.2,1.8,4.0,3.3,4.0,1.8
1993,7.7,9.0,8.3,6.9,9.1,11.1,10.0,6.6,5.6,3.4,21.9,15.5,9.7
1994,11.2,10.2,10.6,15.3,11.5,11.0,17.7,24.3,24.3,24.3,6.4,13.6,14.9
1995,20.0,18.9,17.5,17.7,20.0,26.2,20.6,16.0,18.3,18.8,18.6,18.8,19.2
1996,19.9,21.1,26.5,21.8,19.7,17.4,22.2,29.7,28.6,32.1,38.8,37.4,26.5
1997,31.6,33.9,32.9,33.6,44.9,35.4,33.9,22.6,28.5,29.1,24.2,26.6,31.1
1998,30.9,22.1,18.2,19.4,13.1,13.8,9.5,11.1,6.0,2.9,2.0,0.4,12.5
1999,-5.0,-3.8,-5.9,-4.8,-2.0,1.2,5.0,6.1,9.1,8.9,12.8,21.0,3.4
2000,27.9,28.0,29.8,27.3,25.5,25.8,23.0,26.9,23.7,22.4,20.0,14.1,24.3
2001,5.703211517165016,14.774360448404744,14.933784164553392,14.628030091947616,12.28602981778023,11.095814977973568,9.766162310866576,5.405405405405405,8.161626973508154,6.1273209549071765,5.633430309441943,3.9271781534460364,9.275256888242279
2002,2.8548978522786714,-2.829952416729289,-5.099289041431711,-5.493437044239177,-2.188345217605101,-3.345724907063193,-3.8345864661654154,-1.9294237116019193,-0.5442850074220623,0.04998750312421839,3.3049574361542393,3.5285285285285224,-1.3272863443455267
2003,9.320091673032849,9.201030927835042,10.772410229914756,10.751028806584369,9.879336349924575,12.435897435897422,13.812874641647117,12.710328760031048,8.3582089552239,10.31726205345989,10.397479398933571,10.780759004109267,10.712629137676581
2004,3.7502911716748093,5.357564314373392,9.095149253731345,6.061309800278665,9.837565774422343,5.427594070695553,4.946187313945506,11.001378043178697,11.868686868686869,10.258152173913041,10.29637760702526,11.67357626009164,8.333492030241265
2005,21.17198024247869,20.922939068100344,15.711842667806742,19.137289248959952,12.622370339512608,17.369673372269098,22.888937377263808,12.869853093316785,8.208495793145886,6.469500924214429,3.125000000000009,1.152794060179771,13.178757888445508
2006,-2.983138780804142,-1.0188958873656881,1.4963975614261877,1.4519389818048072,4.882559644904747,4.754883892370066,-2.308238636363642,0.6966086159486632,3.186042101270639,6.19212962962962,7.5661069291642375,9.13656557852037,2.68389662027835
2007,10.828877005347582,8.010481003181743,4.331998543866052,3.061594202898541,1.0051137365543807,2.2343420126671347,8.178844056706659,8.956854178044782,10.93548979966918,14.296094459582209,13.762784855553562,14.690265486725657,8.329803969022267
2008,14.975012924349485,18.107780280713907,21.004884856943473,27.210406046756912,26.833100558659222,28.618138014111167,27.335349462365578,28.103592314118647,25.596421471172963,24.92053401144309,24.684542586750787,25.663580246913575,24.457197112498047
2009,22.706834532374106,18.95539906103285,16.72433679354095,11.966284371977341,11.424638678596017,7.613058603157606,5.977041826098429,5.608451806443205,11.93773908455349,6.997455470737915,5.578747628083502,4.629743337836176,10.532338587535776
2010,4.678148283864649,5.648741983226458,6.571146245059281,7.3676416142169465,8.72143298332304,9.697873927638945,9.785856573705171,8.521674694331214,3.4880980438369105,4.673008323424491,5.511622334052243,4.0845070422535175,6.525379860540181
2011,4.760793465577591,4.973149661452256,5.702364394993052,6.747126436781614,7.476423133734797,8.60251615096907,9.072352007257882,11.095937179924888,11.705761785470274,13.336362603657856,16.409266409266397,14.862426702751474,9.594862413293718
2012,21.630652706616182,21.986209964412833,24.506578947368418,25.174975772585313,22.507664657997676,17.28240450845332,17.64400083177377,15.662774021716835,14.250764525993878,15.886539039791527,11.696419861476933,11.839780090320048,18.162612369807526
2013,7.564102564102554,9.426565776278586,6.87802730074856,3.6215053763440808,6.221953745253722,9.770421783235463,9.589041095890419,8.227792046762916,9.653818700927905,7.291126102750381,8.375545851528395,9.011061724530245,7.9503359882119335
2014,6.00210849399103,5.872656078653169,3.7539992914725104,4.79058027776718,3.4308779011099904,3.32456540820167,3.15376830603469,5.8999664659068,5.4939327542080205,3.51862887787537,4.18173243392754,3.69999999999999,4.4
2015,3.4,1.15,4.7,7.43,7.22,7.69,7.98,4.2,4.1,5.6,5.8,7.1,5.54
2016,6.364513018322082,6.666666666666665,4.237288135593231,2.6556776556776462,2.63876251137396,3.8009049773755743,3.9568345323740983,6.629834254143652,6.991720331186757,5.952380952380953,7.090909090909081,9.54095409540956,5.55
2017,12.861308556866092,20.456130482634705,21.0659152269004,19.565571431193042,18.87533772646208,15.141237482931835,13.6,13.9,15.35557605484521,17.6,15.3,10.0,16.1
2018,6.1,-1.3,-2.5547638223436966,-1.7301038062283738,-1.0,-0.4393673110720563,-0.7957559681697538,-2.2867194371152233,-5.622837370242214,-8.425531914893622,-7.319148936170208,-5.632582322357019,-2.5839009073826804
2019,-3.8,-4.140969162995598,-2.9229406554473085,-2.198768689533861,-2.4,-3.971756398940865,-2.580071174377229,-0.6300630063006198,2.0146520146520173,3.992571959145773,3.5812672176308458,4.949587534372141,-0.6755408634828916
2020,5.15741084696375,7.69663505036422,7.118818780536196,7.894281739098763,9.252763209074244,8.5128967821122,7.728780854160067,6.7606401731149735,6.35008768352463,6.9600751792834314,8.845525031890777,7.991437854278272,7.526450693922349
2021,6.469628076124656,5.937645245138379,7.31891698000946,6.477643951136036,5.248420644220286,9.182217064987451,9.764302049331452,10.440079147929548,10.484434764719053,9.88443730235491,8.707076003134983,10.040357365446507,8.333238874677296
2022,12.327932131952535,13.419008853127368,12.867025603006677,16.068729745382583,18.58897432647715,17.535185480112837,19.004866545209744,19.577847498509215,20.86717599643848,22.061024436396217,26.864441132641147,26.68873670999552,18.944267778381164
2023,28.497875930915395,28.222594449325467,32.60262052792595,32.55056352893919,28.91014796767921,27.10834740614285,26.04889510178574,,,,,,
